Date,current_price,portfolio_pnl,portfolio_value,position,postion_pnl,capital,holding,action
2016-01-07,5122.08,510.7,10510.7,0.0,0.0,10510.7,0.0,2.0
2016-01-08,4874.24,510.7,10510.7,9748.48,0.0,762.22,2.0,0.0
2016-01-11,4874.24,510.7,10510.7,9748.48,0.0,762.22,2.0,0.0
2016-01-12,5287.31,1336.84,10510.7,9748.48,826.14,762.22,2.0,0.0
2016-01-13,5287.31,1336.84,11336.84,0.0,0.0,11336.84,0.0,1.0
2016-01-14,5039.46,1336.84,11336.84,10078.92,0.0,1257.92,2.0,0.0
2016-01-15,4874.24,1006.4,11336.84,10078.92,-330.44,1257.92,2.0,0.0
2016-01-18,4543.79,345.5,11336.84,10078.92,-991.34,1257.92,2.0,2.0
2016-01-19,4709.01,675.94,10675.94,0.0,0.0,10675.94,0.0,1.0
2016-01-20,4791.62,675.94,10675.94,0.0,0.0,10675.94,0.0,2.0
2016-01-21,4791.62,675.94,10675.94,0.0,0.0,10675.94,0.0,2.0
2016-01-22,4956.86,675.94,10675.94,0.0,0.0,10675.94,0.0,1.0
2016-01-25,5369.93,675.94,10675.94,0.0,0.0,10675.94,0.0,2.0
2016-01-26,5039.46,675.94,10675.94,10078.92,0.0,597.02,2.0,0.0
2016-01-27,5287.31,1171.64,11171.64,0.0,0.0,11171.64,0.0,1.0
2016-01-28,5204.69,1171.64,11171.64,0.0,0.0,11171.64,0.0,2.0
2016-01-29,5204.69,1171.64,11171.64,0.0,0.0,11171.64,0.0,1.0
2016-02-01,5122.08,1171.64,11171.64,10244.16,0.0,927.48,2.0,0.0
2016-02-02,5039.46,1006.4,11171.64,10244.16,-165.24,927.48,2.0,0.0
2016-02-03,5039.46,1006.4,11171.64,10244.16,-165.24,927.48,2.0,2.0
2016-02-04,5039.46,1006.4,11171.64,10244.16,-165.24,927.48,2.0,2.0
2016-02-05,5204.69,1336.86,11171.64,10244.16,165.22,927.48,2.0,0.0
2016-02-08,5204.69,1336.86,11336.86,0.0,0.0,11336.86,0.0,1.0
2016-02-09,5204.69,1336.86,11336.86,10409.38,0.0,927.48,2.0,0.0
2016-02-10,5204.69,1336.86,11336.86,0.0,0.0,11336.86,0.0,1.0
2016-02-11,5204.69,1336.86,11336.86,10409.38,0.0,927.48,2.0,0.0
2016-02-12,5204.69,1336.86,11336.86,0.0,0.0,11336.86,0.0,1.0
2016-02-15,5122.08,1336.86,11336.86,0.0,0.0,11336.86,0.0,2.0
2016-02-16,5204.69,1336.86,11336.86,0.0,0.0,11336.86,0.0,2.0
2016-02-17,5204.69,1336.86,11336.86,10409.38,0.0,927.48,2.0,0.0
2016-02-18,5287.31,1502.1,11502.1,0.0,0.0,11502.1,0.0,1.0
2016-02-19,5287.31,1502.1,11502.1,0.0,0.0,11502.1,0.0,2.0
2016-02-22,5287.31,1502.1,11502.1,0.0,0.0,11502.1,0.0,2.0
2016-02-23,5287.31,1502.1,11502.1,0.0,0.0,11502.1,0.0,1.0
2016-02-24,5617.77,1502.1,11502.1,11235.54,0.0,266.56,2.0,0.0
