Date,current_price,portfolio_pnl,position,postion_pnl,capital,holding,action,portfolio_value,sortino,mean3,mean5,mean10,mean20,mean50,std3,std5,std10,std20,std50,sortino_delta,returns,benchmark
2013-10-08,26.3948,4869.0349,0.0,0.0,29869.0349,0.0,0.0,29869.0349,-9.1284,27.4859,27.6268,27.3825,26.8019,25.1406,0.9665,0.7139,0.5757,0.7486,1.5772,10.8052,1.194761396,1.23067597937
2013-10-09,26.5268,4857.7849,29842.65,0.0,15.1349,1125.0,1.0,29857.7849,-3.1578,26.9168,27.3438,27.3504,26.8193,25.2235,0.7925,0.829,0.6163,0.7373,1.5375,9.1284,1.194311396,1.23683057154
2013-10-10,27.2909,5715.8974,30702.2625,859.6125,13.6349,1125.0,1.0,30715.8974,-3.7504,26.7375,27.2551,27.3655,26.8866,25.3165,0.4838,0.7999,0.6124,0.7144,1.5187,3.1578,1.228635896,1.27245726755
2013-10-11,27.7815,6267.8224,31254.1875,1411.5375,13.6349,1125.0,0.0,31267.8224,-3.8654,27.1998,27.1645,27.44,26.9851,25.4029,0.6323,0.6777,0.6133,0.6939,1.5338,3.7504,1.250712896,1.29533183509
2013-10-14,27.8475,6340.5724,31328.4375,1485.7875,12.1349,1125.0,1.0,31340.5724,-3.9357,27.64,27.1683,27.5211,27.0845,25.4897,0.3041,0.6823,0.6076,0.666,1.5471,3.8654,1.253622896,1.29840913118
2013-10-15,27.7721,6255.7474,31243.6125,1400.9625,12.1349,1125.0,0.0,31255.7474,-3.9506,27.8004,27.4438,27.5353,27.1726,25.5756,0.0411,0.5588,0.612,0.6321,1.5524,3.9357,1.250229896,1.29489355353
2013-10-16,28.0456,6561.9349,31551.3,1708.65,10.6349,1125.0,1.0,31561.9349,-3.9441,27.8884,27.7475,27.5456,27.2471,25.6695,0.1413,0.278,0.6205,0.6433,1.5569,3.9506,1.262477396,1.30764568199
2013-10-17,28.3947,6943.4224,0.0,0.0,31943.4224,0.0,2.0,31943.4224,-3.9887,28.0708,27.9683,27.6117,27.3268,25.7783,0.3121,0.2626,0.6755,0.6826,1.5533,3.9441,1.277736896,1.32392271324
2013-10-18,29.1588,6932.4724,31928.886,0.0,3.5864,1095.0,1.0,31932.4724,-4.0791,28.533,28.2437,27.7041,27.4702,25.894,0.5693,0.5654,0.8183,0.7513,1.5858,3.9887,1.277298896,1.35954940925
2013-10-21,28.9229,6674.1619,31670.5755,-258.3105,3.5864,1095.0,0.0,31674.1619,-7.3113,28.8255,28.4588,27.8136,27.5971,26.0032,0.3913,0.5813,0.9054,0.7724,1.6028,4.0791,1.266966476,1.34855040704
